SadOrHopeless,sad_binary,HowMuchDoYouWeighWithoutShoesInKG,CurrentCigaretteUse,smoker_binary,smoking_freq_group,smoking_freq_score,HowOldAreYou,age_label,age_group
1.0,1.0,61.24,7.0,1.0,Frequent (20~30 days),7.0,4.0,15,15
2.0,0.0,79.38,1.0,0.0,,,6.0,17,17
1.0,1.0,56.7,7.0,1.0,Frequent (20~30 days),7.0,5.0,16,16
1.0,1.0,78.93,7.0,1.0,Frequent (20~30 days),7.0,6.0,17,17
1.0,1.0,,1.0,0.0,,,6.0,17,17
2.0,0.0,63.5,7.0,1.0,Frequent (20~30 days),7.0,7.0,18+,18+
2.0,0.0,72.58,7.0,1.0,Frequent (20~30 days),7.0,6.0,17,17
1.0,1.0,83.92,7.0,1.0,Frequent (20~30 days),7.0,4.0,15,15
2.0,0.0,81.65,2.0,1.0,Light (1~5 days),2.0,4.0,15,15
2.0,0.0,63.5,1.0,0.0,,,4.0,15,15
1.0,1.0,65.77,4.0,1.0,Moderate (6~19 days),4.0,3.0,14,<=14
1.0,1.0,47.63,1.0,0.0,,,6.0,17,17
2.0,0.0,58.97,1.0,0.0,,,6.0,17,17
1.0,1.0,62.6,1.0,0.0,,,6.0,17,17
1.0,1.0,72.58,1.0,0.0,,,6.0,17,17
2.0,0.0,95.26,1.0,0.0,,,7.0,18+,18+
2.0,0.0,102.06,1.0,0.0,,,7.0,18+,18+
1.0,1.0,69.85,4.0,1.0,Moderate (6~19 days),4.0,7.0,18+,18+
2.0,0.0,68.04,1.0,0.0,,,7.0,18+,18+
1.0,1.0,88.45,3.0,1.0,Light (1~5 days),3.0,7.0,18+,18+
2.0,0.0,106.6,1.0,0.0,,,6.0,17,17
1.0,1.0,83.92,1.0,0.0,,,6.0,17,17
2.0,0.0,68.04,1.0,0.0,,,7.0,18+,18+
1.0,1.0,,1.0,0.0,,,6.0,17,17
2.0,0.0,63.5,1.0,0.0,,,6.0,17,17
1.0,1.0,127.01,1.0,0.0,,,6.0,17,17
2.0,0.0,112.95,1.0,0.0,,,6.0,17,17
1.0,1.0,102.06,1.0,0.0,,,5.0,16,16
2.0,0.0,88.45,1.0,0.0,,,6.0,17,17
1.0,1.0,65.77,2.0,1.0,Light (1~5 days),2.0,5.0,16,16
1.0,1.0,,1.0,0.0,,,5.0,16,16
2.0,0.0,92.08,1.0,0.0,,,5.0,16,16
2.0,0.0,56.7,1.0,0.0,,,5.0,16,16
2.0,0.0,88.45,1.0,0.0,,,6.0,17,17
2.0,0.0,99.79,1.0,0.0,,,6.0,17,17
2.0,0.0,99.79,1.0,0.0,,,5.0,16,16
2.0,0.0,86.18,1.0,0.0,,,5.0,16,16
2.0,0.0,81.65,1.0,0.0,,,5.0,16,16
1.0,1.0,97.07,1.0,0.0,,,3.0,14,<=14
2.0,0.0,81.65,1.0,0.0,,,3.0,14,<=14
1.0,1.0,65.77,2.0,1.0,Light (1~5 days),2.0,3.0,14,<=14
,,90.72,1.0,0.0,,,3.0,14,<=14
2.0,0.0,57.61,1.0,0.0,,,3.0,14,<=14
2.0,0.0,64.41,1.0,0.0,,,4.0,15,15
2.0,0.0,52.16,1.0,0.0,,,3.0,14,<=14
2.0,0.0,81.65,1.0,0.0,,,3.0,14,<=14
1.0,1.0,86.18,1.0,0.0,,,4.0,15,15
2.0,0.0,39.01,1.0,0.0,,,3.0,14,<=14
2.0,0.0,82.56,1.0,0.0,,,3.0,14,<=14
2.0,0.0,,1.0,0.0,,,3.0,14,<=14
2.0,0.0,91.63,1.0,0.0,,,3.0,14,<=14
2.0,0.0,68.95,1.0,0.0,,,4.0,15,15
2.0,0.0,63.5,1.0,0.0,,,5.0,16,16
2.0,0.0,65.77,1.0,0.0,,,4.0,15,15
2.0,0.0,63.5,1.0,0.0,,,4.0,15,15
2.0,0.0,83.92,1.0,0.0,,,4.0,15,15
2.0,0.0,,1.0,0.0,,,4.0,15,15
1.0,1.0,50.35,1.0,0.0,,,4.0,15,15
2.0,0.0,,1.0,0.0,,,4.0,15,15
,,57.15,1.0,0.0,,,4.0,15,15
2.0,0.0,79.38,1.0,0.0,,,4.0,15,15
2.0,0.0,54.43,1.0,0.0,,,5.0,16,16
